"Fecha y Hora del Equipo","Fecha y Hora de Registro","Velocidad (Km/h)","Latitud","Longitud"
"2025-11-27 13:26:19","2025-11-27 13:26:20","42.00","-0.3602811111111111","-78.47105777777777"
"2025-11-27 13:26:24","2025-11-27 13:26:25","40.00","-0.3606888888888889","-78.47136"
"2025-11-27 13:26:29","2025-11-27 13:26:30","43.00","-0.3611127777777778","-78.47169777777778"
"2025-11-27 13:26:34","2025-11-27 13:26:35","43.00","-0.3615466666666667","-78.47204444444445"
"2025-11-27 13:26:39","2025-11-27 13:26:40","41.00","-0.36197","-78.47239111111111"
"2025-11-27 13:26:44","2025-11-27 13:26:45","36.00","-0.36236444444444443","-78.47271111111111"
"2025-11-27 13:26:49","2025-11-27 13:26:50","39.00","-0.362745","-78.47299555555556"
"2025-11-27 13:26:54","2025-11-27 13:26:55","46.00","-0.36317944444444444","-78.47333333333333"
"2025-11-27 13:26:59","2025-11-27 13:27:00","42.00","-0.36361666666666664","-78.47368"
"2025-11-27 13:27:04","2025-11-27 13:27:06","38.00","-0.36402277777777775","-78.47401777777777"
"2025-11-27 13:27:09","2025-11-27 13:27:11","35.00","-0.3643961111111111","-78.4743111111111"
"2025-11-27 13:27:14","2025-11-27 13:27:16","24.00","-0.3646877777777778","-78.47454222222223"
"2025-11-27 13:27:19","2025-11-27 13:27:21","24.00","-0.36491666666666667","-78.47474666666666"
"2025-11-27 13:27:24","2025-11-27 13:27:25","30.00","-0.3651877777777778","-78.47496"
"2025-11-27 13:27:29","2025-11-27 13:27:30","34.00","-0.3655083333333333","-78.47520888888889"
"2025-11-27 13:27:34","2025-11-27 13:27:35","32.00","-0.36581722222222224","-78.47547555555556"
"2025-11-27 13:27:39","2025-11-27 13:27:40","14.00","-0.3660805555555556","-78.47568888888888"
"2025-11-27 13:27:49","2025-11-27 13:27:50","9.00","-0.3661316666666667","-78.47571555555555"
"2025-11-27 13:27:54","2025-11-27 13:27:55","20.00","-0.36628333333333335","-78.4758311111111"
"2025-11-27 13:27:59","2025-11-27 13:28:00","28.00","-0.366545","-78.47603555555555"
"2025-11-27 13:28:04","2025-11-27 13:28:05","36.00","-0.3668688888888889","-78.47628444444445"
"2025-11-27 13:28:09","2025-11-27 13:28:10","46.00","-0.36727666666666664","-78.47663111111112"
"2025-11-27 13:28:14","2025-11-27 13:28:15","47.00","-0.36773944444444445","-78.47697777777778"
"2025-11-27 13:28:19","2025-11-27 13:28:20","52.00","-0.36821055555555554","-78.47740444444445"
"2025-11-27 13:28:24","2025-11-27 13:28:25","62.00","-0.368685","-78.47794666666667"
"2025-11-27 13:28:29","2025-11-27 13:28:30","68.00","-0.3691316666666667","-78.47864888888888"
"2025-11-27 13:28:34","2025-11-27 13:28:35","65.00","-0.3695144444444444","-78.47939555555556"
"2025-11-27 13:28:39","2025-11-27 13:28:40","51.00","-0.3697172222222222","-78.48009777777777"
"2025-11-27 13:28:44","2025-11-27 13:28:45","43.00","-0.36985055555555557","-78.4807111111111"
"2025-11-27 13:28:54","2025-11-27 13:28:55","21.00","-0.36989","-78.48103111111111"
"2025-11-27 13:28:59","2025-11-27 13:29:00","31.00","-0.36996111111111113","-78.48134222222222"
"2025-11-27 13:29:04","2025-11-27 13:29:05","40.00","-0.3700716666666667","-78.48177777777778"
